Course,Lab Demo,,
75,5,23420,0.08819
75.5,5.03,23310,0.08956
76,5.07,23210,0.09098
76.5,5.1,23110,0.09235
77,5.13,23000,0.09376
77.5,5.17,22900,0.09513
78,5.2,22800,0.09655
78.5,5.23,22690,0.09792
79,5.27,22580,0.09936
79.5,5.3,22470,0.1007
80,5.33,22360,0.1022
80.5,5.37,22250,0.1035
81,5.4,22140,0.105
81.5,5.43,22020,0.1064
82,5.47,21910,0.1078
82.5,5.5,21790,0.1092
83,5.53,21670,0.1106
83.5,5.57,21550,0.112
84,5.6,21430,0.1134
84.5,5.63,21310,0.1148
85,5.67,21180,0.1163
85.5,5.7,21050,0.1177
86,5.73,20930,0.1191
86.5,5.76,20800,0.1205
87,5.8,20660,0.122
87.5,5.83,20530,0.1233
88,5.87,20390,0.1248
88.5,5.9,20250,0.1262
89,5.93,20120,0.1277
89.5,5.97,19970,0.1291
90,6,19830,0.1306
90.5,6.03,19680,0.132
91,6.07,19520,0.1334
91.5,6.1,19370,0.1349
92,6.13,19220,0.1363
92.5,6.17,19050,0.1378
93,6.2,18890,0.1393
93.5,6.23,18720,0.1407
94,6.27,18550,0.1422
94.5,6.3,18370,0.1437
95,6.33,18190,0.1452
