Course,Lab Demo,,
75.5,5.03,12680,0.08812
76,5.07,12680,0.08913
76.5,5.1,12680,0.09012
77,5.13,12680,0.09112
77.5,5.17,12680,0.09213
78,5.2,12680,0.09313
78.5,5.23,12680,0.09416
79,5.27,12680,0.09519
79.5,5.3,12670,0.09622
80,5.33,12670,0.09729
80.5,5.37,12670,0.09837
81,5.4,12670,0.09945
81.5,5.43,12660,0.1005
82,5.47,12660,0.1017
82.5,5.5,12660,0.1028
83,5.53,12650,0.1039
83.5,5.57,12650,0.105
84,5.6,12640,0.1062
84.5,5.63,12640,0.1073
85,5.67,12630,0.1085
85.5,5.7,12620,0.1097
86,5.73,12620,0.111
86.5,5.77,12610,0.1121
87,5.8,12600,0.1134
87.5,5.83,12590,0.1146
88,5.87,12580,0.1159
88.5,5.9,12560,0.1172
89,5.93,12550,0.1184
89.5,5.97,12540,0.1198
90,6,12520,0.121
90.5,6.03,12500,0.1223
91,6.07,12480,0.1237
91.5,6.1,12460,0.1249
92,6.13,12440,0.1263
92.5,6.16,12410,0.1276
93,6.2,12390,0.129
93.5,6.23,12360,0.1303
94,6.27,12330,0.1316
94.5,6.3,12300,0.1329
95,6.33,12270,0.1343
95.5,6.37,12240,0.1356
96,6.4,12210,0.137
96.5,6.43,12170,0.1383
97,6.47,12140,0.1397
97.5,6.5,12100,0.141
98,6.53,12060,0.1424
98.5,6.57,12020,0.1438
99,6.6,11990,0.1451
99.5,6.63,11940,0.1465
100,6.67,11910,0.1478
100.5,6.7,11860,0.1492
101,6.73,11820,0.1506
101.5,6.77,11780,0.1519
102,6.8,11730,0.1533
102.5,6.83,11690,0.1547
103,6.87,11640,0.1561
103.5,6.9,11600,0.1574
104,6.93,11550,0.1588
104.5,6.97,11500,0.1602
105,7,11450,0.1616
105.5,7.03,11400,0.163
106,7.07,11350,0.1643
106.5,7.1,11300,0.1657
107,7.13,11250,0.1671
107.5,7.17,11200,0.1685
108,7.2,11150,0.1698
108.5,7.23,11090,0.1713
109,7.27,11040,0.1726
109.5,7.3,10980,0.174
110,7.33,10930,0.1754
110.5,7.37,10870,0.1768
111,7.4,10810,0.1782
111.5,7.43,10760,0.1796
112,7.47,10700,0.181
112.5,7.5,10640,0.1824
113,7.53,10580,0.1838
113.5,7.57,10520,0.1852
114,7.6,10460,0.1866
114.5,7.63,10400,0.188
115,7.67,10330,0.1894
115.5,7.7,10270,0.1908
116,7.73,10210,0.1922
116.5,7.77,10140,0.1936
117,7.8,10080,0.195
117.5,7.83,10010,0.1964
118,7.87,9942,0.1978
118.5,7.9,9874,0.1992
119,7.93,9809,0.2007
119.5,7.97,9736,0.2021
120,8,9667,0.2035
120.5,8.03,9595,0.2049
121,8.07,9521,0.2063
121.5,8.1,9447,0.2077
122,8.13,9372,0.2092
122.5,8.17,9291,0.2106
123,8.2,9216,0.212
123.5,8.23,9137,0.2135
124,8.27,9057,0.2149
124.5,8.3,8976,0.2164
125,8.33,8892,0.2178
125.5,8.36,8807,0.2192
126,8.4,8722,0.2207
126.5,8.43,8629,0.2222
127,8.47,8518,0.2237
127.55,8.49,-2.909,0.2503
