System ID,,"4483C1713"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"N02D4340OQ"
Last test date,,"Monday, October 14, 2024"
Last test time,,"6:01:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"4340"
Heat Treatment,,"OQ"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.21"
Grip Diameter,(mm),"12.69"
Rockwell Hardness,,"27.7"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.89"
Fracture Notes and Location,,"Brittle fracture, flat surface"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"82.22"
Maximum Strain,(%),"5.481"

Time,Displacement,Force,Strain 1
"46.00","3.07","40.08","0.006117"
"46.50","3.10","40.54","0.006228"
"47.00","3.13","40.99","0.006342"
"47.50","3.17","41.46","0.006457"
"48.00","3.20","41.91","0.006567"
"48.50","3.23","42.37","0.006678"
"49.00","3.27","42.84","0.006792"
"49.50","3.30","43.29","0.006908"
"50.00","3.33","43.75","0.007025"
"50.50","3.37","44.20","0.007138"
"51.00","3.40","44.66","0.007257"
"51.50","3.43","45.11","0.007376"
"52.00","3.47","45.57","0.007494"
"52.50","3.50","46.02","0.007616"
"53.00","3.53","46.48","0.007737"
"53.50","3.57","46.93","0.007864"
"54.00","3.60","47.39","0.007989"
"54.50","3.63","47.84","0.008120"
"55.00","3.67","48.29","0.008242"
"55.50","3.70","48.74","0.008382"
"56.00","3.73","49.20","0.008509"
"56.50","3.77","49.64","0.008646"
"57.00","3.80","50.09","0.008778"
"57.50","3.83","50.55","0.008921"
"58.00","3.87","50.99","0.009064"
"58.50","3.90","51.44","0.009197"
"59.00","3.93","51.89","0.009335"
"59.50","3.97","52.33","0.009480"
"60.00","4.00","52.78","0.009630"
"60.50","4.03","53.23","0.009772"
"61.00","4.07","53.67","0.009923"
"61.50","4.10","54.11","0.01007"
"62.00","4.13","54.55","0.01022"
"62.50","4.17","54.99","0.01037"
"63.00","4.20","55.43","0.01052"
"63.50","4.23","55.87","0.01069"
"64.00","4.27","56.30","0.01084"
"64.50","4.30","56.74","0.01101"
"65.00","4.33","57.17","0.01118"
"65.50","4.37","57.61","0.01135"
"66.00","4.40","58.04","0.01151"
"66.50","4.43","58.47","0.01168"
"67.00","4.47","58.91","0.01186"
"67.50","4.50","59.33","0.01204"
"68.00","4.53","59.75","0.01221"
"68.50","4.57","60.17","0.01239"
"69.00","4.60","60.60","0.01258"
"69.50","4.63","61.02","0.01276"
"70.00","4.67","61.44","0.01295"
"70.50","4.70","61.86","0.01314"
"71.00","4.73","62.27","0.01334"
"71.50","4.77","62.69","0.01353"
"72.00","4.80","63.10","0.01374"
"72.50","4.83","63.51","0.01395"
"73.00","4.87","63.92","0.01415"
"73.50","4.90","64.32","0.01436"
"74.00","4.93","64.73","0.01458"
"74.50","4.97","65.13","0.01480"
"75.00","5.00","65.52","0.01502"
"75.50","5.03","65.92","0.01525"
"76.00","5.07","66.31","0.01548"
"76.50","5.10","66.69","0.01571"
"77.00","5.13","67.08","0.01596"
"77.50","5.17","67.46","0.01620"
"78.00","5.20","67.84","0.01645"
"78.50","5.23","68.22","0.01670"
"79.00","5.27","68.59","0.01695"
"79.50","5.30","68.95","0.01722"
"80.00","5.33","69.32","0.01749"
"80.50","5.37","69.68","0.01776"
"81.00","5.40","70.04","0.01803"
"81.50","5.43","70.40","0.01831"
"82.00","5.47","70.74","0.01861"
"82.50","5.50","71.09","0.01890"
"83.00","5.53","71.44","0.01921"
"83.50","5.57","71.78","0.01953"
"84.00","5.60","72.11","0.01984"
"84.50","5.63","72.44","0.02016"
"85.00","5.67","72.76","0.02049"
"85.50","5.70","73.08","0.02081"
"86.00","5.73","73.39","0.02116"
"86.50","5.77","73.70","0.02151"
"87.00","5.80","74.01","0.02187"
"87.50","5.83","74.31","0.02223"
"88.00","5.87","74.60","0.02259"
"88.50","5.90","74.88","0.02297"
"89.00","5.93","75.17","0.02336"
"89.50","5.97","75.44","0.02374"
"90.00","6.00","75.72","0.02415"
"90.50","6.03","75.98","0.02455"
"91.00","6.07","76.24","0.02496"
"91.50","6.10","76.50","0.02539"
"92.00","6.13","76.75","0.02582"
"92.50","6.17","76.99","0.02626"
"93.00","6.20","77.23","0.02668"
"93.50","6.23","77.46","0.02716"
"94.00","6.27","77.69","0.02755"
"94.50","6.30","77.92","0.02802"
"95.00","6.33","78.13","0.02854"
"95.50","6.37","78.34","0.02725"
"96.00","6.40","78.54","0.02779"
"96.50","6.43","78.74","0.02834"
"97.00","6.47","78.93","0.02872"
"97.50","6.50","79.11","0.02928"
"98.00","6.53","79.29","0.02978"
"98.50","6.57","79.47","0.03035"
"99.00","6.60","79.64","0.03087"
"99.50","6.63","79.80","0.03149"
"100.00","6.67","79.96","0.03204"
"100.50","6.70","80.11","0.03262"
"101.00","6.73","80.26","0.03321"
"101.50","6.77","80.40","0.03385"
"102.00","6.80","80.53","0.03446"
"102.50","6.83","80.66","0.03509"
"103.00","6.87","80.79","0.03572"
"103.50","6.90","80.91","0.03639"
"104.00","6.93","81.02","0.03704"
"104.50","6.97","81.13","0.03770"
"105.00","7.00","81.23","0.03839"
"105.50","7.03","81.34","0.03910"
"106.00","7.07","81.43","0.03982"
"106.50","7.10","81.51","0.04050"
"107.00","7.13","81.60","0.04123"
"107.50","7.17","81.68","0.04196"
"108.00","7.20","81.75","0.04274"
"108.50","7.23","81.83","0.04352"
"109.00","7.27","81.89","0.04429"
"109.50","7.30","81.95","0.04509"
"110.00","7.33","82.01","0.04592"
"110.50","7.37","82.06","0.04674"
"111.00","7.40","82.10","0.04758"
"111.50","7.43","82.14","0.04846"
"112.00","7.47","82.17","0.04935"
"112.50","7.50","82.20","0.05026"
"113.00","7.53","82.22","0.05119"
"113.50","7.57","82.21","0.05215"
"114.00","7.60","82.21","0.05316"
"114.50","7.64","-0.05349","0.04953"
"115.00","7.67","-0.03952","0.04642"
"115.50","7.70","-0.03473","0.04825"
"116.00","7.73","-0.03023","0.04980"
"116.50","7.77","-0.02676","0.05138"
"117.00","7.80","-0.02354","0.05375"
"117.50","7.83","-0.02121","0.05481"
"118.00","7.87","-0.01631","0.04409"
"118.50","7.90","-0.01488","0.01340"
"119.00","7.93","-0.01659","0.01140"
"119.50","7.97","-0.01967","-0.02324"
"120.00","8.00","-0.01984","-0.01721"
"120.37","8.02","-0.01337","-0.001699"

